txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
15909.0,16718.0,38119.0,15883.0,16586.0,37556.0,15713.0,16646.0,37576.0,15386.0,16457.0,38373.0,16068.0,16390.0,37352.0,15756.0,16524.0,37444.0,15833.0,16526.0,37056.0,15488.0,16392.0,37512.0,16231.0,16498.0,37340.0,15956.0,16310.0,37703.0,15720.0,16261.0,37431.0,15498.0,16341.0,37950.0,16093.0,16272.0,38425.0,15984.0,16343.0,38535.0,15681.0,16151.0,37764.0,15595.0,16025.0,37790.0
15909.0,16718.0,38119.0,15883.0,16586.0,37556.0,15713.0,16646.0,37576.0,15385.0,16457.0,38370.0,16068.0,16388.0,37344.0,15758.0,16526.0,37442.0,15833.0,16525.0,37058.0,15487.0,16392.0,37512.0,16231.0,16498.0,37340.0,15956.0,16310.0,37703.0,15720.0,16261.0,37431.0,15497.0,16340.0,37951.0,16092.0,16270.0,38423.0,15986.0,16343.0,38533.0,15683.0,16151.0,37759.0,15595.0,16027.0,37791.0
15910.0,16720.0,38116.0,15883.0,16585.0,37562.0,15712.0,16646.0,37571.0,15384.0,16457.0,38374.0,16066.0,16389.0,37343.0,15757.0,16522.0,37441.0,15832.0,16525.0,37054.0,15488.0,16392.0,37505.0,16231.0,16497.0,37342.0,15957.0,16312.0,37698.0,15719.0,16260.0,37431.0,15498.0,16340.0,37953.0,16094.0,16271.0,38419.0,15984.0,16343.0,38534.0,15682.0,16150.0,37764.0,15598.0,16027.0,37792.0
15910.0,16720.0,38116.0,15883.0,16585.0,37562.0,15712.0,16646.0,37571.0,15384.0,16457.0,38374.0,16066.0,16389.0,37343.0,15757.0,16522.0,37441.0,15832.0,16525.0,37054.0,15488.0,16392.0,37505.0,16231.0,16497.0,37342.0,15957.0,16312.0,37698.0,15719.0,16260.0,37431.0,15498.0,16340.0,37953.0,16094.0,16271.0,38419.0,15984.0,16343.0,38534.0,15682.0,16150.0,37764.0,15598.0,16027.0,37792.0
15907.0,16719.0,38118.0,15884.0,16586.0,37557.0,15711.0,16644.0,37573.0,15385.0,16457.0,38371.0,16068.0,16390.0,37349.0,15756.0,16525.0,37443.0,15831.0,16524.0,37057.0,15487.0,16393.0,37506.0,16232.0,16498.0,37337.0,15957.0,16313.0,37699.0,15718.0,16259.0,37431.0,15498.0,16340.0,37946.0,16095.0,16270.0,38416.0,15986.0,16343.0,38532.0,15681.0,16150.0,37764.0,15597.0,16027.0,37793.0
15907.0,16718.0,38118.0,15881.0,16585.0,37555.0,15711.0,16645.0,37573.0,15383.0,16457.0,38368.0,16067.0,16390.0,37346.0,15756.0,16525.0,37443.0,15831.0,16524.0,37057.0,15487.0,16393.0,37506.0,16230.0,16499.0,37339.0,15956.0,16313.0,37697.0,15719.0,16261.0,37427.0,15497.0,16341.0,37953.0,16093.0,16272.0,38417.0,15984.0,16343.0,38531.0,15681.0,16150.0,37764.0,15597.0,16027.0,37793.0
15907.0,16718.0,38118.0,15881.0,16585.0,37555.0,15711.0,16647.0,37574.0,15384.0,16456.0,38370.0,16067.0,16390.0,37345.0,15755.0,16524.0,37438.0,15832.0,16526.0,37060.0,15486.0,16392.0,37509.0,16230.0,16499.0,37339.0,15956.0,16313.0,37697.0,15717.0,16261.0,37431.0,15495.0,16341.0,37950.0,16093.0,16271.0,38418.0,15985.0,16344.0,38530.0,15681.0,16151.0,37763.0,15595.0,16029.0,37792.0
15903.0,16721.0,38112.0,15878.0,16586.0,37560.0,15710.0,16646.0,37576.0,15380.0,16457.0,38366.0,16065.0,16392.0,37346.0,15754.0,16525.0,37442.0,15829.0,16525.0,37056.0,15484.0,16392.0,37511.0,16229.0,16499.0,37337.0,15957.0,16314.0,37696.0,15719.0,16261.0,37436.0,15495.0,16340.0,37951.0,16094.0,16272.0,38420.0,15985.0,16345.0,38533.0,15681.0,16151.0,37761.0,15595.0,16026.0,37791.0
15903.0,16721.0,38112.0,15878.0,16586.0,37560.0,15710.0,16646.0,37576.0,15380.0,16457.0,38366.0,16065.0,16392.0,37346.0,15754.0,16525.0,37442.0,15829.0,16525.0,37056.0,15484.0,16392.0,37511.0,16229.0,16499.0,37337.0,15957.0,16314.0,37696.0,15719.0,16261.0,37436.0,15495.0,16340.0,37951.0,16094.0,16272.0,38420.0,15985.0,16345.0,38533.0,15681.0,16151.0,37761.0,15595.0,16026.0,37791.0
15908.0,16720.0,38126.0,15882.0,16587.0,37556.0,15711.0,16645.0,37570.0,15382.0,16454.0,38370.0,16069.0,16393.0,37354.0,15758.0,16525.0,37448.0,15834.0,16526.0,37055.0,15489.0,16389.0,37511.0,16235.0,16500.0,37347.0,15959.0,16313.0,37705.0,15723.0,16261.0,37435.0,15500.0,16338.0,37944.0,16094.0,16276.0,38432.0,15990.0,16347.0,38536.0,15687.0,16151.0,37761.0,15602.0,16025.0,37794.0
15905.0,16722.0,38123.0,15885.0,16585.0,37564.0,15713.0,16645.0,37572.0,15387.0,16455.0,38363.0,16068.0,16394.0,37362.0,15760.0,16526.0,37441.0,15835.0,16525.0,37058.0,15490.0,16390.0,37502.0,16233.0,16501.0,37350.0,15961.0,16313.0,37707.0,15723.0,16259.0,37433.0,15502.0,16338.0,37949.0,16098.0,16275.0,38434.0,15994.0,16347.0,38543.0,15689.0,16150.0,37767.0,15601.0,16026.0,37789.0
15903.0,16723.0,38121.0,15879.0,16587.0,37552.0,15709.0,16646.0,37566.0,15383.0,16454.0,38362.0,16067.0,16395.0,37355.0,15759.0,16526.0,37443.0,15833.0,16525.0,37055.0,15488.0,16388.0,37511.0,16232.0,16505.0,37341.0,15959.0,16316.0,37702.0,15720.0,16261.0,37432.0,15499.0,16338.0,37950.0,16097.0,16277.0,38434.0,15991.0,16347.0,38535.0,15687.0,16150.0,37761.0,15600.0,16025.0,37789.0
15903.0,16723.0,38121.0,15879.0,16587.0,37552.0,15708.0,16647.0,37576.0,15378.0,16455.0,38367.0,16065.0,16393.0,37357.0,15757.0,16528.0,37441.0,15831.0,16524.0,37052.0,15488.0,16388.0,37511.0,16232.0,16505.0,37341.0,15959.0,16316.0,37702.0,15721.0,16260.0,37432.0,15498.0,16338.0,37955.0,16098.0,16276.0,38421.0,15990.0,16349.0,38534.0,15687.0,16152.0,37758.0,15600.0,16025.0,37789.0
15900.0,16725.0,38109.0,15873.0,16590.0,37553.0,15705.0,16645.0,37564.0,15376.0,16452.0,38357.0,16063.0,16395.0,37348.0,15756.0,16528.0,37437.0,15829.0,16525.0,37054.0,15484.0,16388.0,37508.0,16230.0,16503.0,37341.0,15958.0,16313.0,37704.0,15718.0,16258.0,37437.0,15496.0,16336.0,37948.0,16097.0,16279.0,38419.0,15992.0,16348.0,38534.0,15686.0,16152.0,37766.0,15598.0,16021.0,37795.0
15900.0,16727.0,38115.0,15875.0,16590.0,37559.0,15706.0,16644.0,37569.0,15376.0,16453.0,38358.0,16063.0,16398.0,37352.0,15753.0,16529.0,37436.0,15829.0,16525.0,37054.0,15484.0,16388.0,37508.0,16230.0,16503.0,37341.0,15960.0,16317.0,37705.0,15720.0,16259.0,37434.0,15498.0,16338.0,37946.0,16097.0,16277.0,38426.0,15992.0,16346.0,38532.0,15686.0,16152.0,37766.0,15598.0,16021.0,37795.0
15897.0,16728.0,38112.0,15873.0,16590.0,37556.0,15704.0,16644.0,37557.0,15374.0,16450.0,38355.0,16062.0,16400.0,37351.0,15754.0,16529.0,37439.0,15831.0,16524.0,37051.0,15486.0,16387.0,37504.0,16234.0,16506.0,37340.0,15958.0,16315.0,37705.0,15722.0,16256.0,37431.0,15498.0,16333.0,37946.0,16098.0,16281.0,38430.0,15994.0,16350.0,38533.0,15687.0,16151.0,37761.0,15601.0,16020.0,37786.0
15897.0,16728.0,38112.0,15873.0,16590.0,37556.0,15703.0,16645.0,37563.0,15373.0,16451.0,38353.0,16063.0,16398.0,37351.0,15751.0,16528.0,37439.0,15827.0,16525.0,37050.0,15482.0,16385.0,37500.0,16234.0,16506.0,37340.0,15958.0,16315.0,37705.0,15721.0,16258.0,37426.0,15497.0,16332.0,37944.0,16099.0,16281.0,38425.0,15993.0,16350.0,38529.0,15687.0,16150.0,37766.0,15602.0,16021.0,37792.0
15898.0,16729.0,38119.0,15875.0,16592.0,37557.0,15704.0,16646.0,37565.0,15374.0,16452.0,38352.0,16063.0,16398.0,37358.0,15752.0,16529.0,37443.0,15831.0,16524.0,37054.0,15485.0,16385.0,37499.0,16234.0,16508.0,37347.0,15960.0,16318.0,37702.0,15722.0,16260.0,37434.0,15499.0,16333.0,37946.0,16100.0,16283.0,38426.0,15997.0,16352.0,38540.0,15689.0,16151.0,37762.0,15604.0,16021.0,37790.0
15898.0,16729.0,38119.0,15874.0,16590.0,37565.0,15708.0,16645.0,37561.0,15378.0,16451.0,38351.0,16064.0,16400.0,37357.0,15754.0,16530.0,37445.0,15830.0,16527.0,37052.0,15485.0,16385.0,37499.0,16234.0,16508.0,37347.0,15962.0,16315.0,37699.0,15723.0,16259.0,37436.0,15501.0,16335.0,37942.0,16101.0,16280.0,38438.0,15996.0,16351.0,38537.0,15689.0,16153.0,37761.0,15603.0,16022.0,37780.0
15899.0,16729.0,38120.0,15874.0,16590.0,37565.0,15708.0,16645.0,37561.0,15379.0,16452.0,38348.0,16064.0,16399.0,37357.0,15755.0,16527.0,37438.0,15831.0,16524.0,37048.0,15486.0,16384.0,37497.0,16235.0,16506.0,37352.0,15962.0,16315.0,37699.0,15723.0,16259.0,37436.0,15501.0,16335.0,37942.0,16099.0,16280.0,38439.0,15996.0,16350.0,38542.0,15689.0,16151.0,37765.0,15605.0,16021.0,37788.0
